ICB23CD,ICB23NM,Der_Financial_Year,EC_Department_Type,mh_snomed,mhsds_flag,attends,left_b4_completion
E54000031,NHS South West London Integrated Care Board,2019/20,3,1,0,45,0
E54000064,NHS Sussex Integrated Care Board,2020/21,4,0,1,27,0
E54000013,NHS Lincolnshire Integrated Care Board,2019/20,1,1,0,120,0
E54000058,NHS Derby and Derbyshire Integrated Care Board,2020/21,1,0,0,36283,581
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2020/21,1,1,0,87,2
E54000032,NHS Kent and Medway Integrated Care Board,2022/23,1,1,1,1347,61
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2019/20,3,1,1,35,0
E54000034,NHS Frimley Integrated Care Board,2022/23,3,1,1,5,0
E54000022,NHS Norfolk and Waveney Integrated Care Board,2023/24,1,0,1,21178,1117
E54000013,NHS Lincolnshire Integrated Care Board,2023/24,3,0,1,13269,782
E54000062,NHS Black Country Integrated Care Board,2020/21,1,0,1,22133,565
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2019/20,4,0,1,3451,3
E54000059,NHS Northamptonshire Integrated Care Board,2021/22,1,1,0,165,2
