ICB23CD,ICB23NM,Der_Financial_Year,EC_Department_Type,mh_snomed,mhsds_flag,attends,left_b4_completion
E54000022,NHS Norfolk and Waveney Integrated Care Board,2022/23,3,0,0,16314,132
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2023/24,5,0,1,8,0
E54000061,NHS South Yorkshire Integrated Care Board,2021/22,3,1,0,21,0
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2020/21,3,1,0,105,0
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2019/20,1,1,1,2795,78
E54000061,NHS South Yorkshire Integrated Care Board,2020/21,1,0,1,115407,6073
E54000029,NHS North East London Integrated Care Board,2023/24,3,1,1,283,11
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2022/23,1,0,1,59539,7415
E54000030,NHS South East London Integrated Care Board,2023/24,1,0,0,273788,11149
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2023/24,4,0,1,24,3
E54000029,NHS North East London Integrated Care Board,2021/22,1,0,0,385078,17864
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2019/20,1,1,0,973,10
E54000028,NHS North Central London Integrated Care Board,2021/22,3,0,0,102973,5680
E54000034,NHS Frimley Integrated Care Board,2023/24,1,0,1,52694,3156
E54000037,NHS Devon Integrated Care Board,2023/24,3,1,0,139,4
E54000037,NHS Devon Integrated Care Board,2019/20,3,0,0,46089,750
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2019/20,3,1,0,10,0
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2019/20,1,1,0,640,5
E54000032,NHS Kent and Medway Integrated Care Board,2019/20,1,1,1,5029,104
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2019/20,1,1,0,882,7
E54000063,NHS Surrey Heartlands Integrated Care Board,2020/21,3,1,1,58,0
E54000055,NHS Birmingham and Solihull Integrated Care Board,2023/24,5,1,0,1,0
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2023/24,5,0,1,18,0
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2022/23,5,0,1,52,0
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2023/24,3,0,1,18337,557
E54000059,NHS Northamptonshire Integrated Care Board,2023/24,4,0,0,147,3
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2023/24,5,0,0,52,0
E54000064,NHS Sussex Integrated Care Board,2019/20,5,0,1,14,0
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2020/21,3,0,0,24580,212
E54000032,NHS Kent and Medway Integrated Care Board,2020/21,4,0,0,102,1
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2022/23,5,0,1,6,0
E54000043,NHS Gloucestershire Integrated Care Board,2023/24,3,0,1,12039,314
E54000054,NHS West Yorkshire Integrated Care Board,2023/24,4,0,0,12154,200
E54000028,NHS North Central London Integrated Care Board,2021/22,3,0,1,20074,1743
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2022/23,3,0,0,50758,254
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2022/23,4,0,1,24,1
E54000058,NHS Derby and Derbyshire Integrated Care Board,2020/21,3,0,0,81647,216
E54000034,NHS Frimley Integrated Care Board,2021/22,4,0,1,572,1
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2020/21,1,0,0,227357,3632
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2020/21,1,0,1,82787,3344
E54000057,NHS Greater Manchester Integrated Care Board,2020/21,4,0,1,9020,217
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2019/20,4,0,0,247,7
E54000058,NHS Derby and Derbyshire Integrated Care Board,2022/23,3,0,0,152457,3966
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2023/24,1,1,0,606,7
E54000034,NHS Frimley Integrated Care Board,2020/21,1,0,1,45291,673
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2021/22,3,0,0,37642,2212
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2019/20,1,1,0,928,9
E54000041,NHS Dorset Integrated Care Board,2019/20,1,0,0,137344,5387
E54000058,NHS Derby and Derbyshire Integrated Care Board,2019/20,4,0,0,299,11
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2020/21,4,1,1,81,1
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2023/24,5,1,0,1,0
E54000055,NHS Birmingham and Solihull Integrated Care Board,2023/24,3,0,0,37316,560
E54000022,NHS Norfolk and Waveney Integrated Care Board,2023/24,5,0,0,6700,0
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2022/23,4,0,1,9588,745
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2021/22,1,0,0,144743,4359
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2022/23,5,0,1,87,1
E54000058,NHS Derby and Derbyshire Integrated Care Board,2022/23,1,0,0,154497,9455
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2022/23,1,1,1,2781,218
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2022/23,1,1,0,531,5
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2019/20,1,0,1,80086,2929
E54000027,NHS North West London Integrated Care Board,2020/21,5,0,1,1211,21
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2019/20,3,1,0,128,1
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2019/20,5,0,0,5,0
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2020/21,3,1,1,15,0
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2022/23,3,0,1,28457,1914
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2023/24,1,1,1,4345,194
E54000013,NHS Lincolnshire Integrated Care Board,2023/24,3,0,0,147543,5862
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2023/24,5,0,0,25,1
E54000037,NHS Devon Integrated Care Board,2021/22,1,0,1,80355,8175
E54000055,NHS Birmingham and Solihull Integrated Care Board,2023/24,3,1,0,13,0
E54000062,NHS Black Country Integrated Care Board,2021/22,1,0,0,279395,9810
E54000030,NHS South East London Integrated Care Board,2023/24,1,0,1,99789,8293
E54000030,NHS South East London Integrated Care Board,2023/24,99,0,0,1,1
E54000029,NHS North East London Integrated Care Board,2022/23,1,1,1,5148,197
E54000034,NHS Frimley Integrated Care Board,2021/22,3,1,1,6,0
E54000050,NHS North East and North Cumbria Integrated Care Board,2020/21,4,1,1,16,1
E54000030,NHS South East London Integrated Care Board,2019/20,1,1,1,5509,191
E54000064,NHS Sussex Integrated Care Board,2019/20,5,0,0,6,0
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2022/23,3,0,0,45357,446
E54000062,NHS Black Country Integrated Care Board,2021/22,3,0,0,105238,1986
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2019/20,3,0,1,32888,1060
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2020/21,4,0,1,16,0
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2021/22,3,1,1,45,0
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2019/20,3,0,1,1058,22
