Integrated care boards Code,Integrated care boards,Ethnic group (20 categories) Code,Ethnic group (20 categories),Age (7 categories) Code,Age (7 categories),Observation
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1,"Asian, Asian British or Asian Welsh: Bangladeshi",6,Aged 25 to 29 years,215
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1,"Asian, Asian British or Asian Welsh: Bangladeshi",7,Aged 30 years and over,1131
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2,"Asian, Asian British or Asian Welsh: Chinese",1,Aged 4 years and under,143
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2,"Asian, Asian British or Asian Welsh: Chinese",2,Aged 5 to 15 years,525
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2,"Asian, Asian British or Asian Welsh: Chinese",3,Aged 16 to 17 years,89
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2,"Asian, Asian British or Asian Welsh: Chinese",4,Aged 18 to 20 years,174
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2,"Asian, Asian British or Asian Welsh: Chinese",5,Aged 21 to 24 years,199
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2,"Asian, Asian British or Asian Welsh: Chinese",6,Aged 25 to 29 years,205
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2,"Asian, Asian British or Asian Welsh: Chinese",7,Aged 30 years and over,2272
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,3,"Asian, Asian British or Asian Welsh: Indian",1,Aged 4 years and under,718
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,3,"Asian, Asian British or Asian Welsh: Indian",2,Aged 5 to 15 years,1914
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,3,"Asian, Asian British or Asian Welsh: Indian",3,Aged 16 to 17 years,260
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,3,"Asian, Asian British or Asian Welsh: Indian",4,Aged 18 to 20 years,518
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,3,"Asian, Asian British or Asian Welsh: Indian",5,Aged 21 to 24 years,651
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,3,"Asian, Asian British or Asian Welsh: Indian",6,Aged 25 to 29 years,781
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,3,"Asian, Asian British or Asian Welsh: Indian",7,Aged 30 years and over,7377
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,4,"Asian, Asian British or Asian Welsh: Pakistani",1,Aged 4 years and under,2582
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,4,"Asian, Asian British or Asian Welsh: Pakistani",2,Aged 5 to 15 years,6193
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,4,"Asian, Asian British or Asian Welsh: Pakistani",3,Aged 16 to 17 years,1020
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,4,"Asian, Asian British or Asian Welsh: Pakistani",4,Aged 18 to 20 years,1454
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,4,"Asian, Asian British or Asian Welsh: Pakistani",5,Aged 21 to 24 years,1588
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,4,"Asian, Asian British or Asian Welsh: Pakistani",6,Aged 25 to 29 years,2055
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,4,"Asian, Asian British or Asian Welsh: Pakistani",7,Aged 30 years and over,11777
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,5,"Asian, Asian British or Asian Welsh: Other Asian",1,Aged 4 years and under,701
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,5,"Asian, Asian British or Asian Welsh: Other Asian",2,Aged 5 to 15 years,1650
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,5,"Asian, Asian British or Asian Welsh: Other Asian",3,Aged 16 to 17 years,271
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,5,"Asian, Asian British or Asian Welsh: Other Asian",4,Aged 18 to 20 years,372
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,5,"Asian, Asian British or Asian Welsh: Other Asian",5,Aged 21 to 24 years,639
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,5,"Asian, Asian British or Asian Welsh: Other Asian",6,Aged 25 to 29 years,694
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,5,"Asian, Asian British or Asian Welsh: Other Asian",7,Aged 30 years and over,5142
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,6,"Black, Black British, Black Welsh, Caribbean or African: African",1,Aged 4 years and under,676
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,6,"Black, Black British, Black Welsh, Caribbean or African: African",2,Aged 5 to 15 years,1554
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,6,"Black, Black British, Black Welsh, Caribbean or African: African",3,Aged 16 to 17 years,272
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,6,"Black, Black British, Black Welsh, Caribbean or African: African",4,Aged 18 to 20 years,642
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,6,"Black, Black British, Black Welsh, Caribbean or African: African",5,Aged 21 to 24 years,617
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,6,"Black, Black British, Black Welsh, Caribbean or African: African",6,Aged 25 to 29 years,607
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,6,"Black, Black British, Black Welsh, Caribbean or African: African",7,Aged 30 years and over,3966
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1,Aged 4 years and under,143
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2,Aged 5 to 15 years,206
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",3,Aged 16 to 17 years,70
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",4,Aged 18 to 20 years,164
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",5,Aged 21 to 24 years,246
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",6,Aged 25 to 29 years,215
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",7,Aged 30 years and over,2519
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1,Aged 4 years and under,204
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2,Aged 5 to 15 years,491
